"Date","Price","Open","High","Low","Vol.","Change %"
"06/10/2019","2.3600","2.3600","2.3600","2.3600","","0.00%"
"06/07/2019","2.3600","2.3600","2.3600","2.3600","","0.00%"
"06/06/2019","2.3600","2.3600","2.3600","2.3600","","-0.42%"
"06/05/2019","2.3700","2.3700","2.3700","2.3700","","0.00%"
"06/04/2019","2.3700","2.3700","2.3700","2.3700","","0.00%"
"06/03/2019","2.3700","2.3700","2.3700","2.3700","","-0.42%"
"05/31/2019","2.3800","2.3800","2.3800","2.3800","","0.42%"
"05/30/2019","2.3700","2.3700","2.3700","2.3700","","0.00%"
"05/29/2019","2.3700","2.3700","2.3700","2.3700","","0.00%"
"05/28/2019","2.3700","2.3700","2.3700","2.3700","","0.00%"
"05/24/2019","2.3700","2.3700","2.3700","2.3700","","0.00%"
"05/23/2019","2.3700","2.3700","2.3700","2.3700","","0.00%"
"05/22/2019","2.3700","2.3700","2.3700","2.3700","","0.42%"
"05/21/2019","2.3600","2.3600","2.3600","2.3600","","-0.42%"
"05/20/2019","2.3700","2.3700","2.3700","2.3700","","-0.42%"
"05/17/2019","2.3800","2.3800","2.3800","2.3800","","0.00%"
"05/16/2019","2.3800","2.3800","2.3800","2.3800","","0.00%"
"05/15/2019","2.3800","2.3800","2.3800","2.3800","","0.85%"
"05/14/2019","2.3600","2.3600","2.3600","2.3600","","-0.42%"
"05/13/2019","2.3700","2.3700","2.3700","2.3700","","-0.42%"
"05/10/2019","2.3800","2.3800","2.3800","2.3800","","0.00%"
"05/09/2019","2.3800","2.3800","2.3800","2.3800","","-0.42%"
"05/08/2019","2.3900","2.3900","2.3900","2.3900","","0.00%"
"05/07/2019","2.3900","2.3900","2.3900","2.3900","","-0.42%"
"05/06/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"05/03/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"05/02/2019","2.4000","2.4000","2.4000","2.4000","","-2.04%"
"05/01/2019","2.4500","2.4500","2.4500","2.4500","","0.00%"
"04/30/2019","2.4500","2.4500","2.4500","2.4500","","1.66%"
"04/29/2019","2.4100","2.4100","2.4100","2.4100","","0.00%"
"04/26/2019","2.4100","2.4100","2.4100","2.4100","","0.00%"
"04/25/2019","2.4100","2.4100","2.4100","2.4100","","0.00%"
"04/24/2019","2.4100","2.4100","2.4100","2.4100","","0.00%"
"04/23/2019","2.4100","2.4100","2.4100","2.4100","","0.42%"
"04/22/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/18/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/17/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/16/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/15/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/12/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/11/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/10/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/09/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/08/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/05/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/04/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/03/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/02/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"04/01/2019","2.4000","2.4000","2.4000","2.4000","","-0.41%"
"03/29/2019","2.4100","2.4100","2.4100","2.4100","","0.42%"
"03/28/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/27/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/26/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/25/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/22/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/21/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/20/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/19/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/18/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/15/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/14/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/13/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/12/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/11/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/08/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/07/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/06/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/05/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/04/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"03/01/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/28/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/27/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/26/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/25/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/22/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/21/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/20/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/19/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/15/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/14/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
"02/13/2019","2.4000","2.4000","2.4000","2.4000","","0.00%"
